"quantiles"
"0%" 0
"5%" 5
"10%" 48
"15%" 121
"20%" 251
"25%" 512
"30%" 1076
"35%" 1484
"40%" 2511
"45%" 3906
"50%" 5847
"55%" 8044
"60%" 10866
"65%" 14473
"70%" 19168
"75%" 24535
"80%" 30490
"85%" 37524
"90%" 46912
"95%" 59503
"100%" 86224
